,type,JI,source
186,snps,0.178591,WGS_WUX_2023_2_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec
187,indels,0.155594,WGS_WUX_2023_2_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec
188,snps,0.0852456,BGI_T7_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2021_1_TNseq_strelka.isec
189,indels,0.212046,BGI_T7_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2021_1_TNseq_strelka.isec
190,snps,0.314864,WGS_WUX_2023_3_TNseq_strelka.isecVSWGS_WUX_2023_3_TNseq_strelka.isec.HCR
191,indels,0.547916,WGS_WUX_2023_3_TNseq_strelka.isecVSWGS_WUX_2023_3_TNseq_strelka.isec.HCR
192,snps,0.134105,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2023_2_TNseq_strelka.isec
193,indels,0.2177,BGI_T20_WGS_2021_2_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2023_2_TNseq_strelka.isec
194,snps,0.131463,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2021_2_TNseq_strelka.isec.HCR
195,indels,0.214216,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2021_2_TNseq_strelka.isec.HCR
196,snps,0.38828,WGS_WUX_2023_2_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
197,indels,0.256312,WGS_WUX_2023_2_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
198,snps,0.0939146,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2021_1_TNseq_strelka.isec.HCR
199,indels,0.210428,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2021_1_TNseq_strelka.isec.HCR
200,snps,0.196917,BGI_T10_WGS_2023_1_TNseq_strelka.isecVSWGS_WUX_2023_2_TNseq_strelka.isec.HCR
201,indels,0.165311,BGI_T10_WGS_2023_1_TNseq_strelka.isecVSWGS_WUX_2023_2_TNseq_strelka.isec.HCR
